,release_period,state,nps,count
0,2015,AK,57.0,21
1,2015,AL,64.4,88
2,2015,AR,62.3,75
3,2015,AZ,59.9,76
4,2015,CA,56.2,334
5,2015,CO,65.2,77
6,2015,CT,59.3,30
7,2015,DC,46.8,8
8,2015,DE,58.5,6
9,2015,FL,56.6,181
10,2015,GA,60.9,130
11,2015,HI,62.7,18
12,2015,IA,68.6,110
13,2015,ID,67.5,41
14,2015,IL,62.4,176
15,2015,IN,66.1,123
16,2015,KS,68.1,130
17,2015,KY,65.0,93
18,2015,LA,68.0,116
19,2015,MA,61.0,62
20,2015,MD,55.5,44
21,2015,ME,68.1,34
22,2015,MI,63.2,132
23,2015,MN,67.9,129
24,2015,MO,63.0,105
25,2015,MS,64.3,93
26,2015,MT,61.7,56
27,2015,NC,62.4,107
28,2015,ND,60.7,44
29,2015,NE,69.4,89
30,2015,NH,65.7,26
31,2015,NJ,54.8,64
32,2015,NM,57.6,41
33,2015,NV,53.9,34
34,2015,NY,54.9,170
35,2015,OH,64.5,165
36,2015,OK,64.8,125
37,2015,OR,62.8,59
38,2015,PA,61.4,165
39,2015,RI,60.4,11
40,2015,SC,63.1,61
41,2015,SD,68.8,51
42,2015,TN,63.0,107
43,2015,TX,65.1,368
44,2015,UT,66.8,45
45,2015,VA,61.0,82
46,2015,VT,65.7,14
47,2015,WA,61.6,90
48,2015,WI,69.4,123
49,2015,WV,60.9,48
50,2015,WY,63.7,26
51,2016,AK,64.0,20
52,2016,AL,64.1,88
53,2016,AR,63.1,74
54,2016,AZ,59.6,77
55,2016,CA,55.8,332
56,2016,CO,66.4,78
57,2016,CT,59.0,30
58,2016,DC,46.4,8
59,2016,DE,60.6,6
60,2016,FL,57.0,180
61,2016,GA,61.9,129
62,2016,HI,63.4,18
63,2016,IA,68.6,110
64,2016,ID,68.1,41
65,2016,IL,62.9,177
66,2016,IN,65.8,120
67,2016,KS,68.2,130
68,2016,KY,64.6,92
69,2016,LA,68.6,114
70,2016,MA,61.5,61
71,2016,MD,55.4,46
72,2016,ME,67.6,33
73,2016,MI,64.2,131
74,2016,MN,69.2,129
75,2016,MO,62.6,104
76,2016,MS,64.2,92
77,2016,MT,64.6,56
78,2016,NC,63.1,104
79,2016,ND,64.0,44
80,2016,NE,71.3,89
81,2016,NH,65.2,26
82,2016,NJ,54.0,64
83,2016,NM,58.6,41
84,2016,NV,53.9,32
85,2016,NY,54.8,171
86,2016,OH,64.5,161
87,2016,OK,65.7,125
88,2016,OR,63.5,59
89,2016,PA,61.1,166
90,2016,RI,61.3,11
91,2016,SC,63.5,60
92,2016,SD,70.7,51
93,2016,TN,62.9,106
94,2016,TX,65.0,364
95,2016,UT,67.2,45
96,2016,VA,61.5,80
97,2016,VT,64.4,14
98,2016,WA,61.5,88
99,2016,WI,68.8,123
100,2016,WV,61.4,49
101,2016,WY,64.6,26
102,2017,AK,61.6,22
103,2017,AL,64.7,90
104,2017,AR,64.6,75
105,2017,AZ,58.8,80
106,2017,CA,56.4,343
107,2017,CO,66.7,78
108,2017,CT,59.6,31
109,2017,DC,46.8,8
110,2017,DE,61.9,7
111,2017,FL,57.4,187
112,2017,GA,62.6,133
113,2017,HI,65.5,23
114,2017,IA,69.3,116
115,2017,ID,68.9,41
116,2017,IL,64.0,180
117,2017,IN,66.1,120
118,2017,KS,70.1,137
119,2017,KY,65.6,94
120,2017,LA,69.3,121
121,2017,MA,62.4,64
122,2017,MD,55.3,49
123,2017,ME,68.3,33
124,2017,MI,64.2,131
125,2017,MN,69.7,131
126,2017,MO,62.5,112
127,2017,MS,65.0,95
128,2017,MT,63.6,62
129,2017,NC,63.6,107
130,2017,ND,68.2,44
131,2017,NE,72.2,89
132,2017,NH,66.7,26
133,2017,NJ,55.2,66
134,2017,NM,59.9,41
135,2017,NV,53.5,35
136,2017,NY,56.3,171
137,2017,OH,65.2,168
138,2017,OK,65.5,124
139,2017,OR,64.0,60
140,2017,PA,62.0,171
141,2017,RI,62.5,11
142,2017,SC,63.9,60
143,2017,SD,72.5,60
144,2017,TN,63.3,107
145,2017,TX,66.0,411
146,2017,UT,66.7,46
147,2017,VA,62.2,86
148,2017,VT,67.0,14
149,2017,WA,62.3,91
150,2017,WI,70.0,126
151,2017,WV,61.8,49
152,2017,WY,65.6,28
153,2018,AK,62.9,22
154,2018,AL,64.8,91
155,2018,AR,64.4,75
156,2018,AZ,59.5,78
157,2018,CA,57.1,342
158,2018,CO,67.1,79
159,2018,CT,59.8,31
160,2018,DC,48.5,8
161,2018,DE,62.5,7
162,2018,FL,57.6,186
163,2018,GA,62.4,133
164,2018,HI,61.3,23
165,2018,IA,69.5,116
166,2018,ID,68.7,42
167,2018,IL,63.5,180
168,2018,IN,66.7,120
169,2018,KS,69.8,136
170,2018,KY,65.1,92
171,2018,LA,69.8,119
172,2018,MA,61.9,63
173,2018,MD,56.4,49
174,2018,ME,67.8,33
175,2018,MI,65.3,131
176,2018,MN,69.7,130
177,2018,MO,64.0,112
178,2018,MS,66.4,95
179,2018,MT,63.3,62
180,2018,NC,63.8,106
181,2018,ND,69.4,44
182,2018,NE,72.5,89
183,2018,NH,65.5,26
184,2018,NJ,55.9,66
185,2018,NM,57.7,41
186,2018,NV,55.9,35
187,2018,NY,56.4,171
188,2018,OH,65.2,170
189,2018,OK,67.2,123
190,2018,OR,64.8,60
191,2018,PA,62.0,171
192,2018,RI,62.3,11
193,2018,SC,63.8,60
194,2018,SD,71.7,58
195,2018,TN,64.3,108
196,2018,TX,66.7,408
197,2018,UT,66.8,46
198,2018,VA,62.4,85
199,2018,VT,66.5,14
200,2018,WA,62.0,90
201,2018,WI,70.2,126
202,2018,WV,64.9,49
203,2018,WY,65.3,28
204,2019,AK,60.6,22
205,2019,AL,65.1,92
206,2019,AR,65.1,78
207,2019,AZ,59.7,80
208,2019,CA,57.1,348
209,2019,CO,66.4,83
210,2019,CT,60.8,32
211,2019,DC,48.2,9
212,2019,DE,62.2,8
213,2019,FL,56.9,190
214,2019,GA,61.9,135
215,2019,HI,62.1,23
216,2019,IA,70.1,118
217,2019,ID,69.0,43
218,2019,IL,63.6,184
219,2019,IN,65.4,123
220,2019,KS,69.6,138
221,2019,KY,64.2,93
222,2019,LA,69.1,119
223,2019,MA,60.9,65
224,2019,MD,55.0,51
225,2019,ME,67.8,34
226,2019,MI,64.6,136
227,2019,MN,70.6,131
228,2019,MO,62.8,115
229,2019,MS,64.8,97
230,2019,MT,63.6,63
231,2019,NC,62.9,109
232,2019,ND,69.1,45
233,2019,NE,71.3,90
234,2019,NH,64.4,26
235,2019,NJ,55.5,67
236,2019,NM,61.8,43
237,2019,NV,53.6,38
238,2019,NY,56.0,177
239,2019,OH,64.4,170
240,2019,OK,66.1,123
241,2019,OR,66.0,62
242,2019,PA,62.2,176
243,2019,RI,61.6,11
244,2019,SC,63.4,62
245,2019,SD,70.4,61
246,2019,TN,64.8,108
247,2019,TX,66.0,408
248,2019,UT,67.5,47
249,2019,VA,62.1,87
250,2019,VT,66.1,15
251,2019,WA,62.8,93
252,2019,WI,69.9,126
253,2019,WV,64.0,53
254,2019,WY,65.4,29
255,2020,AK,64.3,23
256,2020,AL,64.6,91
257,2020,AR,64.6,78
258,2020,AZ,59.1,80
259,2020,CA,58.2,348
260,2020,CO,67.7,87
261,2020,CT,61.9,31
262,2020,DC,48.4,8
263,2020,DE,61.5,8
264,2020,FL,57.4,190
265,2020,GA,61.9,138
266,2020,HI,64.0,24
267,2020,IA,70.8,117
268,2020,ID,68.3,43
269,2020,IL,64.1,184
270,2020,IN,64.8,120
271,2020,KS,70.4,138
272,2020,KY,64.2,95
273,2020,LA,69.6,117
274,2020,MA,61.4,65
275,2020,MD,56.4,52
276,2020,ME,68.0,34
277,2020,MI,65.1,136
278,2020,MN,70.5,130
279,2020,MO,63.2,114
280,2020,MS,64.7,97
281,2020,MT,64.9,63
282,2020,NC,63.8,111
283,2020,ND,69.2,45
284,2020,NE,72.9,90
285,2020,NH,65.7,26
286,2020,NJ,54.4,67
287,2020,NM,59.8,43
288,2020,NV,59.2,39
289,2020,NY,56.1,174
290,2020,OH,65.8,168
291,2020,OK,66.8,121
292,2020,OR,66.4,62
293,2020,PA,63.0,173
294,2020,RI,62.7,11
295,2020,SC,62.8,62
296,2020,SD,73.0,60
297,2020,TN,63.0,105
298,2020,TX,66.4,398
299,2020,UT,67.5,48
300,2020,VA,62.1,90
301,2020,VT,66.3,15
302,2020,WA,63.2,96
303,2020,WI,70.2,127
304,2020,WV,63.5,53
305,2020,WY,67.4,29
306,2021,AK,63.2,23
307,2021,AL,64.9,92
308,2021,AR,64.5,78
309,2021,AZ,59.3,82
310,2021,CA,58.0,342
311,2021,CO,67.9,87
312,2021,CT,60.7,31
313,2021,DC,50.2,8
314,2021,DE,61.4,8
315,2021,FL,57.7,187
316,2021,GA,62.2,137
317,2021,HI,63.7,24
318,2021,IA,70.5,117
319,2021,ID,68.2,44
320,2021,IL,63.8,182
321,2021,IN,65.0,120
322,2021,KS,70.5,137
323,2021,KY,64.2,94
324,2021,LA,70.0,119
325,2021,MA,61.5,65
326,2021,MD,56.3,52
327,2021,ME,68.0,34
328,2021,MI,64.9,135
329,2021,MN,70.7,129
330,2021,MO,63.7,112
331,2021,MS,65.1,96
332,2021,MT,64.9,63
333,2021,NC,63.7,110
334,2021,ND,69.5,45
335,2021,NE,72.7,91
336,2021,NH,65.2,26
337,2021,NJ,54.7,67
338,2021,NM,59.8,44
339,2021,NV,59.9,38
340,2021,NY,56.3,171
341,2021,OH,65.6,169
342,2021,OK,66.9,121
343,2021,OR,65.9,62
344,2021,PA,63.1,172
345,2021,RI,62.8,11
346,2021,SC,63.3,62
347,2021,SD,73.4,60
348,2021,TN,63.2,103
349,2021,TX,66.7,402
350,2021,UT,67.7,48
351,2021,VA,61.9,89
352,2021,VT,67.1,15
353,2021,WA,63.7,95
354,2021,WI,70.2,128
355,2021,WV,63.7,51
356,2021,WY,67.2,28
357,2022,AK,61.0,23
358,2022,AL,62.2,92
359,2022,AR,61.3,79
360,2022,AZ,54.8,82
361,2022,CA,54.8,341
362,2022,CO,65.7,87
363,2022,CT,56.6,31
364,2022,DC,50.0,8
365,2022,DE,56.5,8
366,2022,FL,53.2,188
367,2022,GA,58.3,137
368,2022,HI,57.2,24
369,2022,IA,69.1,116
370,2022,ID,67.8,44
371,2022,IL,60.3,179
372,2022,IN,62.5,121
373,2022,KS,67.7,135
374,2022,KY,61.5,94
375,2022,LA,67.2,120
376,2022,MA,58.9,65
377,2022,MD,53.2,50
378,2022,ME,66.1,34
379,2022,MI,62.8,135
380,2022,MN,70.0,129
381,2022,MO,61.0,111
382,2022,MS,64.1,96
383,2022,MT,63.7,62
384,2022,NC,60.4,110
385,2022,ND,69.3,45
386,2022,NE,70.5,90
387,2022,NH,61.1,26
388,2022,NJ,52.2,66
389,2022,NM,57.9,44
390,2022,NV,52.9,38
391,2022,NY,54.1,167
392,2022,OH,62.4,168
393,2022,OK,63.9,121
394,2022,OR,64.2,62
395,2022,PA,60.9,166
396,2022,RI,59.1,11
397,2022,SC,59.7,61
398,2022,SD,71.6,61
399,2022,TN,59.8,102
400,2022,TX,62.2,403
401,2022,UT,67.2,48
402,2022,VA,59.1,87
403,2022,VT,66.9,15
404,2022,WA,62.5,94
405,2022,WI,67.5,129
406,2022,WV,62.3,50
407,2022,WY,65.0,28
408,2023,AK,62.5,23
409,2023,AL,61.0,91
410,2023,AR,62.5,79
411,2023,AZ,53.4,83
412,2023,CA,52.6,340
413,2023,CO,64.1,87
414,2023,CT,54.6,31
415,2023,DC,45.6,8
416,2023,DE,52.3,8
417,2023,FL,51.5,191
418,2023,GA,58.1,137
419,2023,HI,58.2,24
420,2023,IA,67.6,116
421,2023,ID,66.9,44
422,2023,IL,57.8,179
423,2023,IN,61.4,121
424,2023,KS,67.5,135
425,2023,KY,59.6,93
426,2023,LA,66.0,120
427,2023,MA,55.6,65
428,2023,MD,51.7,49
429,2023,ME,62.0,34
430,2023,MI,59.4,135
431,2023,MN,68.0,128
432,2023,MO,59.7,111
433,2023,MS,63.5,98
434,2023,MT,63.7,62
435,2023,NC,57.9,109
436,2023,ND,64.8,45
437,2023,NE,68.9,90
438,2023,NH,59.2,26
439,2023,NJ,49.8,66
440,2023,NM,54.8,42
441,2023,NV,53.7,39
442,2023,NY,50.8,166
443,2023,OH,60.2,166
444,2023,OK,63.0,121
445,2023,OR,61.2,61
446,2023,PA,58.2,168
447,2023,RI,58.3,11
448,2023,SC,58.1,61
449,2023,SD,69.6,61
450,2023,TN,58.6,102
451,2023,TX,62.6,400
452,2023,UT,65.8,48
453,2023,VA,57.8,87
454,2023,VT,61.8,15
455,2023,WA,59.1,94
456,2023,WI,65.9,130
457,2023,WV,59.4,50
458,2023,WY,65.0,28
