release_period,state,facility_id,completed_surveys,response_rate
2015,AL,10001,300 or more,27
2015,AL,10005,300 or more,37
2015,AL,10006,300 or more,25
2015,AL,10007,Between 100 and 299,30
2015,AL,10008,Fewer than 100,28
2015,AL,10011,300 or more,31
2015,AL,10012,300 or more,33
2015,AL,10016,300 or more,27
2015,AL,10018,Fewer than 100,45
2015,AL,10019,300 or more,26
2015,AL,10021,Between 100 and 299,30
2015,AL,10022,Fewer than 100,34
2015,AL,10023,300 or more,30
2015,AL,10024,300 or more,28
2015,AL,10029,300 or more,29
2015,AL,10032,Between 100 and 299,38
2015,AL,10033,300 or more,25
2015,AL,10034,300 or more,34
2015,AL,10035,300 or more,37
2015,AL,10036,300 or more,28
2015,AL,10038,300 or more,24
2015,AL,10039,300 or more,28
2015,AL,10040,300 or more,31
2015,AL,10044,Fewer than 100,26
2015,AL,10045,Between 100 and 299,31
2015,AL,10046,300 or more,24
2015,AL,10047,Between 100 and 299,33
2015,AL,10049,300 or more,29
2015,AL,10051,Fewer than 100,22
2015,AL,10052,Between 100 and 299,31
2015,AL,10055,300 or more,37
2015,AL,10056,300 or more,33
2015,AL,10058,Fewer than 100,22
2015,AL,10059,Between 100 and 299,24
2015,AL,10061,300 or more,33
2015,AL,10062,Between 100 and 299,31
2015,AL,10065,300 or more,37
2015,AL,10069,Between 100 and 299,31
2015,AL,10073,Between 100 and 299,41
2015,AL,10078,300 or more,33
2015,AL,10079,300 or more,26
2015,AL,10083,300 or more,34
2015,AL,10085,300 or more,26
2015,AL,10086,Between 100 and 299,30
2015,AL,10087,300 or more,28
2015,AL,10089,300 or more,27
2015,AL,10090,300 or more,31
2015,AL,10091,Between 100 and 299,22
2015,AL,10092,300 or more,20
2015,AL,10095,Fewer than 100,31
2015,AL,10097,Between 100 and 299,33
2015,AL,10099,Between 100 and 299,26
2015,AL,10100,300 or more,42
2015,AL,10101,300 or more,25
2015,AL,10102,Fewer than 100,28
2015,AL,10103,300 or more,30
2015,AL,10104,300 or more,32
2015,AL,10108,300 or more,32
2015,AL,10109,Fewer than 100,17
2015,AL,10110,Fewer than 100,24
2015,AL,10112,Between 100 and 299,31
2015,AL,10113,300 or more,36
2015,AL,10114,300 or more,26
2015,AL,10118,300 or more,26
2015,AL,10120,Between 100 and 299,25
2015,AL,10125,Between 100 and 299,32
2015,AL,10126,Between 100 and 299,27
2015,AL,10128,Fewer than 100,27
2015,AL,10129,300 or more,31
2015,AL,10130,300 or more,36
2015,AL,10131,300 or more,36
2015,AL,10138,Fewer than 100,11
2015,AL,10139,300 or more,35
2015,AL,10144,300 or more,32
2015,AL,10146,Between 100 and 299,26
2015,AL,10148,Between 100 and 299,28
2015,AL,10149,300 or more,29
2015,AL,10150,Between 100 and 299,34
2015,AL,10157,300 or more,26
2015,AL,10158,300 or more,32
2015,AL,10164,300 or more,30
2015,AL,10168,300 or more,53
2015,AL,10169,300 or more,34
2015,AL,11300,Fewer than 100,29
2015,AL,11302,Fewer than 100,25
2015,AL,11304,Fewer than 100,36
2015,AK,20001,300 or more,24
2015,AK,20006,300 or more,34
2015,AK,20008,Between 100 and 299,26
2015,AK,20012,300 or more,28
2015,AK,20017,300 or more,40
2015,AK,20018,Between 100 and 299,12
2015,AK,20026,300 or more,37
2015,AK,20027,Fewer than 100,23
2015,AK,20024,300 or more,25
2015,AK,21304,Fewer than 100,19
2015,AK,21306,Between 100 and 299,22
2015,AK,21311,Between 100 and 299,23
2015,AZ,30001,300 or more,26
2015,AZ,30002,300 or more,29
2015,AZ,30006,300 or more,32
2015,AZ,30007,300 or more,39
2015,AK,21305,Fewer than 100,27
2015,AK,21307,Fewer than 100,15
2015,AK,21312,Fewer than 100,13
2015,AK,21313,Between 100 and 299,34
2015,AZ,30010,300 or more,35
2015,AZ,30011,300 or more,34
2015,AZ,30012,300 or more,43
2015,AZ,30013,300 or more,35
2015,AZ,30014,300 or more,27
2015,AZ,30016,300 or more,25
2015,AZ,30022,300 or more,10
2015,AZ,30023,300 or more,37
2015,AZ,30024,300 or more,20
2015,AZ,30030,300 or more,29
2015,AZ,30033,300 or more,35
2015,AZ,30036,300 or more,21
2015,AZ,30037,300 or more,25
2015,AZ,30038,300 or more,29
2015,AZ,30043,300 or more,26
2015,AZ,30055,300 or more,38
