release_period,state,measure_id,bottom-box_percentage,middle-box_percentage,top-box_percentage,state_name,region,nps
2015,AK,H_RECMND,7.0,23.0,70.0,Alaska,Pacific,63.0
2015,AL,H_RECMND,5.0,24.0,71.0,Alabama,East South Central,66.0
2015,AR,H_RECMND,5.0,27.0,68.0,Arkansas,West South Central,63.0
2015,AZ,H_RECMND,6.0,24.0,70.0,Arizona,Mountain,64.0
2015,CA,H_RECMND,6.0,24.0,70.0,California,Pacific,64.0
2015,CO,H_RECMND,4.0,22.0,74.0,Colorado,Mountain,70.0
2015,CT,H_RECMND,5.0,24.0,71.0,Connecticut,New England,66.0
2015,DC,H_RECMND,10.0,29.0,61.0,District of Columbia,South Atlantic,51.0
2015,DE,H_RECMND,5.0,28.0,67.0,Delaware,South Atlantic,62.0
2015,FL,H_RECMND,7.0,24.0,69.0,Florida,South Atlantic,62.0
2015,GA,H_RECMND,6.0,25.0,69.0,Georgia,South Atlantic,63.0
2015,HI,H_RECMND,4.0,24.0,72.0,Hawaii,Pacific,68.0
2015,IA,H_RECMND,3.0,22.0,75.0,Iowa,West North Central,72.0
2015,ID,H_RECMND,3.0,22.0,75.0,Idaho,Mountain,72.0
2015,IL,H_RECMND,5.0,25.0,70.0,Illinois,East North Central,65.0
2015,IN,H_RECMND,4.0,23.0,73.0,Indiana,East North Central,69.0
2015,KS,H_RECMND,3.0,21.0,76.0,Kansas,West North Central,73.0
2015,KY,H_RECMND,5.0,24.0,71.0,Kentucky,East South Central,66.0
2015,LA,H_RECMND,4.0,21.0,75.0,Louisiana,West South Central,71.0
2015,MA,H_RECMND,4.0,22.0,74.0,Massachusetts,New England,70.0
2015,MD,H_RECMND,6.0,27.0,67.0,Maryland,South Atlantic,61.0
2015,ME,H_RECMND,4.0,20.0,76.0,Maine,New England,72.0
2015,MI,H_RECMND,5.0,24.0,71.0,Michigan,East North Central,66.0
2015,MN,H_RECMND,3.0,23.0,74.0,Minnesota,West North Central,71.0
2015,MO,H_RECMND,5.0,24.0,71.0,Missouri,West North Central,66.0
2015,MS,H_RECMND,5.0,25.0,70.0,Mississippi,East South Central,65.0
2015,MT,H_RECMND,4.0,27.0,69.0,Montana,Mountain,65.0
2015,NC,H_RECMND,5.0,25.0,70.0,North Carolina,South Atlantic,65.0
2015,ND,H_RECMND,5.0,26.0,69.0,North Dakota,West North Central,64.0
2015,NE,H_RECMND,3.0,21.0,76.0,Nebraska,West North Central,73.0
2015,NH,H_RECMND,4.0,21.0,75.0,New Hampshire,New England,71.0
2015,NJ,H_RECMND,7.0,26.0,67.0,New Jersey,Mid-Atlantic,60.0
2015,NM,H_RECMND,7.0,31.0,62.0,New Mexico,Mountain,55.0
2015,NV,H_RECMND,7.0,27.0,66.0,Nevada,Mountain,59.0
2015,NY,H_RECMND,7.0,27.0,66.0,New York,Mid-Atlantic,59.0
2015,OH,H_RECMND,4.0,24.0,72.0,Ohio,East North Central,68.0
2015,OK,H_RECMND,5.0,25.0,70.0,Oklahoma,West South Central,65.0
2015,OR,H_RECMND,4.0,24.0,72.0,Oregon,Pacific,68.0
2015,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2015,RI,H_RECMND,5.0,23.0,72.0,Rhode Island,New England,67.0
2015,SC,H_RECMND,5.0,25.0,70.0,South Carolina,South Atlantic,65.0
2015,SD,H_RECMND,4.0,20.0,76.0,South Dakota,West North Central,72.0
2015,TN,H_RECMND,6.0,24.0,70.0,Tennessee,East South Central,64.0
2015,TX,H_RECMND,5.0,21.0,74.0,Texas,West South Central,69.0
2015,UT,H_RECMND,3.0,20.0,77.0,Utah,Mountain,74.0
2015,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2015,VT,H_RECMND,3.0,21.0,76.0,Vermont,New England,73.0
2015,WA,H_RECMND,5.0,23.0,72.0,Washington,Pacific,67.0
2015,WI,H_RECMND,3.0,22.0,75.0,Wisconsin,East North Central,72.0
2015,WV,H_RECMND,6.0,28.0,66.0,West Virginia,South Atlantic,60.0
2015,WY,H_RECMND,5.0,29.0,66.0,Wyoming,Mountain,61.0
2016,AK,H_RECMND,4.0,27.0,69.0,Alaska,Pacific,65.0
2016,AL,H_RECMND,5.0,24.0,71.0,Alabama,East South Central,66.0
2016,AR,H_RECMND,5.0,25.0,70.0,Arkansas,West South Central,65.0
2016,AZ,H_RECMND,6.0,24.0,70.0,Arizona,Mountain,64.0
2016,CA,H_RECMND,7.0,24.0,69.0,California,Pacific,62.0
2016,CO,H_RECMND,4.0,21.0,75.0,Colorado,Mountain,71.0
2016,CT,H_RECMND,5.0,25.0,70.0,Connecticut,New England,65.0
2016,DC,H_RECMND,10.0,30.0,60.0,District of Columbia,South Atlantic,50.0
2016,DE,H_RECMND,5.0,26.0,69.0,Delaware,South Atlantic,64.0
2016,FL,H_RECMND,7.0,24.0,69.0,Florida,South Atlantic,62.0
2016,GA,H_RECMND,5.0,25.0,70.0,Georgia,South Atlantic,65.0
2016,HI,H_RECMND,4.0,23.0,73.0,Hawaii,Pacific,69.0
2016,IA,H_RECMND,3.0,23.0,74.0,Iowa,West North Central,71.0
2016,ID,H_RECMND,3.0,24.0,73.0,Idaho,Mountain,70.0
2016,IL,H_RECMND,5.0,24.0,71.0,Illinois,East North Central,66.0
